UniqueCount	AmbigCount
4	0
0	42
82	16998
4788	14637
0	287
84	69
35	618
108	22
3	0
1	0
0	1950
370	80
164	1
112	137
0	0
0	0
24	0
732	498
2	0
0	0
0	0
6	0
66	32
284	4
0	0
123	38
6	9
107	249
2	88
459	49
0	0
113	0
7	1
0	314
38	0
0	0
1192	91
0	0
16	0
0	0
0	0
0	0
282	62
2	7
235	28
20	3
106	4
27	0
3	0
0	0
0	0
141	40
0	43
69	9
151	9
4	0
24	39
0	0
28	0
281	3
0	0
0	0
111	24
0	0
627	10
0	0
93	28
0	6
0	0
0	0
0	0
0	0
6	0
55	0
1660	218
36	2
143	0
900	348
419	296
328	215
0	0
0	0
0	0
90	0
1031	38
4	144
30	0
374	1
0	0
191	14
66	103
0	0
0	0
4	0
63	188
1763	12
43	0
0	0
99	6
166	32
762	53
3	0
185	224
589	648
7	0
174	3
131	19
0	0
114	1
0	0
0	0
6	0
0	0
62	160
69	0
372	53
241	0
0	0
11	146
67	56
0	0
18	0
1	0
0	0
1	0
1	0
87	62
0	3
142	0
32	0
0	0
61	1
71	0
284	10
3	0
180	3286
518	9
558	141
179	0
772	14
92	59
0	0
190	6
4	0
0	110
81	16
0	0
27	0
171	122
43	2
426	133
61	29
100	17
130	15
96	0
0	0
269	0
7	0
0	0
2	0
648	27
277	2
63	0
6	0
88	66
159	10
0	1
398	188
0	0
0	0
68	0
58	0
5	0
27	0
0	0
75	6
297	19
136	11
91	0
61	0
1	0
0	0
0	0
525	0
187	0
17	4
488	127
7	0
42	7
144	8
0	0
1	0
77	18
0	0
0	0
128	0
53	15
0	77
126	586
171	32
0	0
7	10
133	27
112	9
131	28
0	0
0	0
0	0
80	403
65	0
3	0
41	0
606	2886
74	382
0	0
6	0
0	0
13	0
257	30
2	0
147	0
47	0
55	0
23	34
146	0
0	0
0	0
178	5
125	0
314	5
0	0
1157	0
0	0
14	0
185	15
58	6
0	0
0	0
166	1585
209	41
112	0
0	0
339	15
366	0
46	0
0	0
424	0
124	3
138	20
0	0
367	7
1	0
3	0
0	0
97	25
0	0
60	0
0	38
1772	481
2	0
2001	152
54	0
227	32
0	0
0	0
82	0
269	0
163	18
86	3
453	6
0	0
224	0
26	0
35	11
357	2
0	0
0	0
287	11
106	16
387	0
91	0
0	0
0	0
111	62
436	457
23	0
184	44
47	0
37	11
0	0
0	0
119	0
169	0
4	0
62	11
357	2
0	0
0	0
206	0
72	0
57	27
92	0
196	0
140	0
35	0
41	17
171	4
175	23
12	121
22	0
250	0
550	0
163	12
25	0
76	0
136	15
97	3
198	81
283	1
185	2
4	0
0	0
61	0
227	0
0	0
2	1
134	7
66	0
0	0
0	0
0	0
0	0
0	0
274	0
0	0
188	40
104	11
14	0
120	14
191	0
79	0
281	0
134	24
595	12
267	0
57	30
577	0
36	8
0	0
228	7
87	0
3	0
234	30
28	1
128	0
33	18
120	14
88	4
86	7
197	47
0	0
0	0
26	0
312	0
103	0
0	0
0	4
0	33
0	0
155	44
284	3
0	0
104	0
1	15
361	147
137	0
0	0
51	32
368	21
142	0
128	0
90	27
204	0
129	31
212	0
0	0
0	0
99	0
41	4
16	0
91	0
0	2
202	11
0	0
0	0
233	7
199	0
134	102
148	0
13	0
145	0
315	2
665	3
0	0
120	13
2	4
189	0
67	9
76	13
151	11
132	4
0	0
0	0
562	7
41	6
18	0
309	287
78	0
0	0
12	59
0	0
183	3
31	0
128	0
0	0
129	3
44	0
310	36
0	0
0	0
0	0
313	0
0	12
795	0
0	0
0	0
61	6
39	0
89	0
0	0
0	0
166	13
37	0
0	0
381	64
62	2
1443	93
267	1
174	0
0	0
0	0
44	0
40	0
2	3
0	0
243	0
22	13
34	0
0	0
99	1
0	0
132	27
0	0
3	0
17	0
102	47
53	76
343	45
236	0
81	2
10	0
150	20
0	0
145	7
170	0
228	4
104	0
91	3
126	8
157	0
81	20
163	16
151	0
29	10
3	0
11	7
291	1
219	0
125	21
167	37
74	0
0	0
272	9
209	3
29	10
0	0
67	0
0	0
1	0
48	0
0	0
352	25
0	0
12	5
1	0
339	6
128	0
55	0
78	4
413	1
57	25
68	267
0	0
0	0
205	0
62	12
356	0
0	0
202	28
0	0
5	0
3	0
110	17
173	16
136	3
0	0
297	3
83	0
49	14
59	1
132	156
0	0
100	0
85	7
67	0
376	0
26	17
4	0
803	0
87	0
156	0
9	2
229	0
0	0
214	33
0	0
433	0
300	11
127	0
123	59
0	0
0	0
146	13
0	0
2	0
0	0
525	4
81	2
42	0
292	16
9	1
154	115
152	0
81	0
0	0
196	6
0	0
363	59
170	0
257	1
84	6
117	1
63	6
4	0
78	0
153	0
46	139
255	84
211	6
107	24
120	56
195	0
0	0
158	0
118	0
153	0
0	0
80	0
398	63
192	2
130	21
0	26
2	0
0	0
117	45
73	0
33	8
1	0
87	0
0	0
118	0
138	9
268	4
312	13
2	0
66	0
426	367
91	0
98	0
33	0
0	0
0	0
118	0
102	0
0	0
0	7
174	4
82	0
0	0
213	10
1	485
97	18
284	1
0	0
0	0
30	35
21	0
241	9
0	0
424	1
1	0
96	0
111	0
35	0
113	0
82	0
14	5
317	16
109	8
295	3
111	12
217	0
419	0
149	0
0	0
139	71
178	3
0	0
78	0
0	27
289	21
0	0
104	0
21	1725
2	27
246	44
122	0
42	0
104	0
25	0
95	2
407	14
159	0
191	0
16	8
0	0
0	0
0	0
0	0
4	0
230	0
226	22
93	26
140	180
94	13
177	2
345	4
205	3
84	644
0	31
106	0
813	44
434	0
253	43
0	0
228	0
110	0
67	20
96	0
88	0
11	13
138	5
8	0
38	6
183	0
0	0
37	65
107	9
0	0
2	0
157	0
434	0
81	8
212	11
11	0
133	23
0	0
0	0
131	1
0	0
148	14
0	0
137	1
257	3
330	0
72	30
78	43
386	1
232	0
4	0
10	0
2	2
0	0
153	24
34	95
169	7
0	1
120	10
132	7
277	85
220	9
264	11
134	0
20	14
0	0
97	98
48	0
204	15
322	22
6	0
0	0
12	0
193	0
64	15
69	0
183	0
193	14
1	0
206	0
59	7
187	19
202	0
10	1
147	27
38	2
0	0
57	0
143	26
195	0
62	6
332	8
151	35
5	0
50	1
35	1
309	5
257	0
47	593
103	26
574	66
324	0
33	0
0	0
338	0
6	0
2664	50
29	7
0	1
45	3
58	0
217	0
17	9
21	0
138	0
266	3
158	713
70	10
0	0
58	0
24	71
0	0
200	0
486	0
44	25
68	0
0	0
187	0
267	5
0	0
50	5
164	23
137	1
0	0
0	0
84	17
244	9
55	0
163	0
281	0
87	1
291	0
0	0
34	5
57	4
96	17
373	0
297	58
19	0
0	0
4	46
0	0
135	0
84	0
55	7
0	0
180	5
377	118
123	20
198	10
42	0
259	0
104	5
35	0
198	0
663	42
0	0
327	4
189	0
296	0
22	30
26	11
130	0
14	0
204	215
85	0
271	30
235	6
87	0
552	131
251	0
281	87
10	0
87	8
16	0
0	141
69	0
81	0
62	56
55	64
140	0
234	0
623	1
313	0
43	0
48	0
864	0
182	0
152	37
43	0
2	2
181	10
240	579
0	0
35	0
60	4
149	10
0	0
501	105
165	0
119	0
45	1
123	41
459	45
144	39
14	0
119	62
87	0
550	14
178	17
10	69
208	54
301	0
155	0
0	0
82	0
0	0
1	0
146	0
8	519
109	11
149	0
89	2
243	45
86	1
3	0
234	73
326	0
1682	296
90	24
62	0
0	0
82	1
126	0
94	11
0	0
121	0
100	20
94	25
10	0
84	13
184	21
111	3
0	0
43	32
893	388
23	0
115	10
98	5
20	0
135	0
146	1
167	14
1	0
0	0
20	0
129	3
35	0
134	0
28	15
75	0
0	0
0	0
105	0
106	0
177	29
222	0
145	15
395	10
200	8
0	0
0	0
0	0
42	0
737	151
203	7
0	0
4	0
345	0
55	0
3	0
59	14
44	2
208	1
961	217
50	0
548	77
5	0
426	10
20	18
65	0
18	21
0	0
184	0
0	0
86	0
5	0
142	4
89	0
673	2
1	0
0	0
48	0
0	0
75	0
261	33
0	0
105	13
205	24
85	10
24	737
59	31
0	0
97	2
2	0
17	0
1	0
0	0
281	26
95	200
0	0
176	18
6	0
105	4
6	0
71	0
79	5
212	32
188	0
190	6
0	0
49	0
111	1
266	0
0	0
28	3
401	41
238	9
395	14
0	1
0	0
208	72
90	1
163	4
359	278
2	1
242	307
93	1
516	18
4	0
101	23
2	0
97	0
25	0
70	8
138	11
117	8
35	15
153	0
29	30
199	0
105	0
63	2
258	30
78	13
176	0
455	35
0	0
0	0
86	7
127	0
277	13
29	13
311	0
61	1
0	331
44	0
0	0
114	6
5	0
207	0
95	5
0	0
111	15
10	0
66	0
0	0
56	1
27	0
68	6
92	12
38	36
430	2444
0	0
3	0
2	0
4	0
147	0
106	0
116	0
237	145
597	0
177	6
71	0
502	121
1482	240
59	0
1119	31
1	73
77	0
68	0
49	8
198	38
109	7
95	0
136	0
224	0
213	0
98	1
16	0
0	0
260	0
156	3
13	0
132	1
10	0
1204	497
0	0
115	0
353	34
133	34
5	4
1	0
173	0
128	0
18	3
114	0
596	11
69	0
35	0
125	0
103	0
99	4
0	0
45	15
0	0
163	0
100	16
0	0
0	0
8	0
90	0
197	0
32	0
192	61
98	0
0	0
308	41
58	0
227	0
9	0
61	2
54	0
109	8
129	0
25	0
0	0
210	54
15	0
230	28
68	7
0	0
0	0
252	29
0	0
408	0
0	0
313	0
0	0
0	0
0	0
0	0
0	0
1	0
26	9
69	4
0	0
308	54
241	0
227	20
75	0
151	9
104	0
96	25
282	1
3	0
39	0
28	5
200	56
88	0
159	7
0	0
60	1
160	0
2	354
946	0
2	19
111	0
299	6
0	0
196	8
90	0
78	0
163	29
135	3
154	0
51	0
28	0
0	0
45	0
23	0
15	0
0	0
39	3
11	0
2	0
57	0
0	0
105	18
99	30
1	0
63	0
228	16
161	0
156	1
112	0
0	0
135	0
126	0
0	0
0	0
94	0
180	0
0	0
93	0
0	0
77	10
0	0
160	0
521	66
80	11
56	14
0	0
58	2
0	0
43	18
0	0
107	7
134	0
77	0
28	0
118	0
65	0
253	0
407	123
183	1
0	0
0	0
