UniqueCount	AmbigCount
0	23
0	189
278	0
13	0
18934	0
30	10
171	0
40	191
0	0
21	0
196	0
7	753
53	753
29	22
11	10
0	0
934	0
11	19
84	0
0	0
0	0
2	0
248	0
170	0
107	0
56	0
35	0
0	0
360	0
160	0
49	0
0	11
122	11
1832	0
28	0
46	0
435	0
347	0
24	0
0	0
137	0
78	0
105	0
0	0
479	66
45	6
0	0
18	69
10	69
61	0
0	0
0	0
0	0
30	0
0	0
106	749
297	0
203	0
227	0
315	0
0	0
12	0
0	0
895	0
326	0
0	0
889	928
83	0
144	22
353	0
338	0
0	0
113	0
0	0
71	0
200	0
1111	165
90	0
0	0
122	0
83	0
475	0
588	0
50	155
50	22
2	0
342	2
0	0
72	0
52	0
163	0
16	0
0	0
174	0
23	0
0	1
0	37
116	0
0	42
0	0
10	0
21	0
0	0
82	552
162	0
629	0
9	0
0	0
25	12
57	0
0	0
6	0
0	0
179	0
78	0
41	0
642	0
22	0
25	0
82	0
47	0
19	0
64	0
0	0
445	0
34	0
0	0
85	13
16681	0
174	0
159	0
44	0
78	0
43	0
0	0
0	0
105	0
13	26
94	0
609	0
129	0
45	0
0	5
19	0
207	0
38	0
37	0
16	0
70	0
316	0
78	0
68	57
902	0
0	0
55	0
342	0
1627	0
23	0
17	0
103	0
0	0
95	0
39	56
15	0
39	0
380	0
11	20
55	0
85	119
90	0
95	0
0	0
1583	0
934	0
33	0
0	0
53	0
157	0
90	0
3774	0
44	0
54	0
0	0
4	232
37	274
227	274
490	0
84	70
65	89
5	0
0	0
64	0
496	0
148	0
132	0
19	0
50	0
19	0
521	0
0	0
19	18
73	15
207	0
373	6
0	0
36	0
12	0
57	0
186	0
65	0
12	37
0	0
0	0
34	0
0	0
8	0
0	16
190	0
4	7
315	0
117	0
45	0
393	0
163	0
10	0
55	0
44	0
0	0
4	0
58	0
14	0
93	0
0	0
0	0
21	122
0	0
16	0
0	12
0	0
0	0
60	0
68	0
0	0
0	0
75	0
137	0
263	0
130	0
308	0
262	0
0	0
18	197
59	14
6	14
12	0
12	0
33	0
15	0
1009	0
522	0
14880	0
243	0
0	0
4	0
70	0
12	0
0	0
12	0
320	0
6	0
68	0
467	0
184	0
2824	0
97	0
23	0
12	0
38	0
175	0
232	0
41	0
737	0
776	0
150	0
0	0
15	203
0	0
0	0
20	0
680	0
1186	0
2	0
833	0
413	0
40	0
0	0
0	0
53	0
0	0
0	0
0	0
127	0
0	0
39	0
127	0
20	0
55	0
16	0
72	0
37	65
410	0
23	0
110	0
87	0
1716	284
0	7
721	0
0	0
0	0
749	0
0	0
72	12
41	0
47	0
42	0
53	0
16	0
0	0
528	0
26	0
0	0
19	0
57	0
12	0
0	0
60	0
198	0
14	0
6	0
43	0
33	54
108	0
8	0
303	0
16	0
19	0
421	0
141	0
24	0
10	0
147	0
0	0
239	37
0	0
6	10
0	0
10	261
287	0
0	0
323	0
731	0
0	0
22	0
56	0
0	0
3	0
66	0
155	0
173	0
45	0
10	0
236	0
724	0
34	0
9	97
133	520
95	0
0	0
8	0
321	0
59	0
4141	0
213	0
13	0
494	976
1886	976
0	0
0	0
319	0
19	0
13	0
748	126
0	126
79	0
794	0
65	0
30	0
103	0
38	0
53	0
2	0
83	0
62	0
314	0
0	0
0	0
45	0
417	1
53	0
158	0
36	0
527	0
0	0
678	0
65	44
2978	0
155	0
100	0
120	0
0	0
14	0
45	117
61	0
44	0
